a
"(:Artista {ubicacion: ""UK"",cancionDestacada: ""Hey Jude"",mood: ""Feliz"",genero: ""Rock"",nombre: ""The Beatles""})"
"(:Artista {ubicacion: ""USA"",cancionDestacada: ""Billie Jean"",mood: ""Feliz"",genero: ""Pop"",nombre: ""Michael Jackson""})"
"(:Artista {ubicacion: ""UK"",cancionDestacada: ""Bohemian Rhapsody"",mood: ""Feliz"",genero: ""Rock"",nombre: ""Queen""})"
"(:Artista {ubicacion: ""USA"",cancionDestacada: ""Can't Help Falling in Love"",mood: ""Feliz"",genero: ""Rock and Roll"",nombre: ""Elvis Presley""})"
"(:Artista {ubicacion: ""USA"",cancionDestacada: ""Like a Prayer"",mood: ""Feliz"",genero: ""Pop"",nombre: ""Madonna""})"
"(:Artista {ubicacion: ""USA"",cancionDestacada: ""Like a Rolling Stone"",mood: ""Triste"",genero: ""Folk"",nombre: ""Bob Dylan""})"
"(:Artista {ubicacion: ""UK"",cancionDestacada: ""Stairway to Heaven"",mood: ""Feliz"",genero: ""Rock"",nombre: ""Led Zeppelin""})"
"(:Artista {ubicacion: ""UK"",cancionDestacada: ""Comfortably Numb"",mood: ""Feliz"",genero: ""Rock Progresivo"",nombre: ""Pink Floyd""})"
"(:Artista {ubicacion: ""UK"",cancionDestacada: ""Space Oddity"",mood: ""Feliz"",genero: ""Rock"",nombre: ""David Bowie""})"
"(:Artista {ubicacion: ""UK"",mood: ""Feliz"",cancionDestacada: ""(I Can't Get No) Satisfaction"",genero: ""Rock"",nombre: ""The Rolling Stones""})"
"(:Artista {ubicacion: ""USA"",cancionDestacada: ""Purple Rain"",mood: ""Feliz"",genero: ""Pop"",nombre: ""Prince""})"
"(:Artista {ubicacion: ""USA"",cancionDestacada: ""Hotel California"",mood: ""Feliz"",genero: ""Rock"",nombre: ""The Eagles""})"
"(:Artista {ubicacion: ""UK"",cancionDestacada: ""Someone Like You"",mood: ""Triste"",genero: ""Pop"",nombre: ""Adele""})"
"(:Artista {ubicacion: ""USA"",mood: ""Feliz"",cancionDestacada: ""Single Ladies (Put a Ring on It)"",genero: ""R&B"",nombre: ""Beyoncé""})"
"(:Artista {ubicacion: ""Jamaica"",cancionDestacada: ""No Woman, No Cry"",mood: ""Feliz"",genero: ""Reggae"",nombre: ""Bob Marley""})"
"(:Artista {ubicacion: ""Ireland"",cancionDestacada: ""With or Without You"",mood: ""Feliz"",genero: ""Rock"",nombre: ""U2""})"
"(:Artista {ubicacion: ""USA"",cancionDestacada: ""I Will Always Love You"",mood: ""Feliz"",genero: ""Pop"",nombre: ""Whitney Houston""})"
"(:Artista {ubicacion: ""USA"",cancionDestacada: ""Smells Like Teen Spirit"",mood: ""Feliz"",genero: ""Grunge"",nombre: ""Nirvana""})"
"(:Artista {ubicacion: ""USA"",cancionDestacada: ""Light My Fire"",mood: ""Feliz"",genero: ""Rock"",nombre: ""The Doors""})"
"(:Artista {ubicacion: ""UK"",cancionDestacada: ""Your Song"",mood: ""Feliz"",genero: ""Pop"",nombre: ""Elton John""})"
"(:Artista {ubicacion: ""USA"",cancionDestacada: ""Good Vibrations"",mood: ""Feliz"",genero: ""Surf Rock"",nombre: ""The Beach Boys""})"
"(:Artista {ubicacion: ""USA"",cancionDestacada: ""My Way"",mood: ""Feliz"",genero: ""Jazz"",nombre: ""Frank Sinatra""})"
"(:Artista {ubicacion: ""Australia"",cancionDestacada: ""Back in Black"",mood: ""Feliz"",genero: ""Hard Rock"",nombre: ""AC/DC""})"
"(:Artista {ubicacion: ""UK"",cancionDestacada: ""Go Your Own Way"",mood: ""Feliz"",genero: ""Rock"",nombre: ""Fleetwood Mac""})"
"(:Artista {ubicacion: ""USA"",cancionDestacada: ""Superstition"",mood: ""Feliz"",genero: ""Soul"",nombre: ""Stevie Wonder""})"
"(:Artista {ubicacion: ""UK"",cancionDestacada: ""Creep"",mood: ""Feliz"",genero: ""Rock Alternativo"",nombre: ""Radiohead""})"
"(:Artista {ubicacion: ""UK"",cancionDestacada: ""Stayin' Alive"",mood: ""Feliz"",genero: ""Disco"",nombre: ""Bee Gees""})"
"(:Artista {ubicacion: ""USA"",cancionDestacada: ""Enter Sandman"",mood: ""Feliz"",genero: ""Metal"",nombre: ""Metallica""})"
"(:Artista {ubicacion: ""USA"",cancionDestacada: ""Ring of Fire"",mood: ""Feliz"",genero: ""Country"",nombre: ""Johnny Cash""})"
"(:Artista {ubicacion: ""USA"",cancionDestacada: ""Respect"",mood: ""Feliz"",genero: ""Soul"",nombre: ""Aretha Franklin""})"
"(:Artista {ubicacion: ""UK"",cancionDestacada: ""Every Breath You Take"",mood: ""Feliz"",genero: ""Rock"",nombre: ""The Police""})"
"(:Artista {ubicacion: ""USA"",cancionDestacada: ""Sweet Child o' Mine"",mood: ""Feliz"",genero: ""Hard Rock"",nombre: ""Guns N' Roses""})"
"(:Artista {ubicacion: ""USA"",cancionDestacada: ""Born to Run"",mood: ""Feliz"",genero: ""Rock"",nombre: ""Bruce Springsteen""})"
"(:Artista {ubicacion: ""USA"",cancionDestacada: ""Gold Digger"",mood: ""Feliz"",genero: ""Hip Hop"",nombre: ""Kanye West""})"
"(:Artista {ubicacion: ""USA"",cancionDestacada: ""Like a Prayer"",mood: ""Feliz"",genero: ""Pop"",nombre: ""Madonna""})"
"(:Artista {ubicacion: ""USA"",cancionDestacada: ""Superstition"",mood: ""Feliz"",genero: ""Soul"",nombre: ""Stevie Wonder""})"
"(:Artista {ubicacion: ""UK"",cancionDestacada: ""Space Oddity"",mood: ""Feliz"",genero: ""Rock"",nombre: ""David Bowie""})"
"(:Artista {ubicacion: ""Jamaica"",cancionDestacada: ""No Woman, No Cry"",mood: ""Feliz"",genero: ""Reggae"",nombre: ""Bob Marley""})"
"(:Artista {ubicacion: ""UK"",cancionDestacada: ""Someone Like You"",mood: ""Triste"",genero: ""Pop"",nombre: ""Adele""})"
"(:Artista {ubicacion: ""USA"",mood: ""Feliz"",cancionDestacada: ""Single Ladies (Put a Ring on It)"",genero: ""R&B"",nombre: ""Beyoncé""})"
"(:Artista {ubicacion: ""USA"",cancionDestacada: ""Like a Rolling Stone"",mood: ""Triste"",genero: ""Folk"",nombre: ""Bob Dylan""})"
"(:Artista {ubicacion: ""UK"",mood: ""Feliz"",cancionDestacada: ""(I Can't Get No) Satisfaction"",genero: ""Rock"",nombre: ""The Rolling Stones""})"
"(:Artista {ubicacion: ""UK"",cancionDestacada: ""Stairway to Heaven"",mood: ""Feliz"",genero: ""Rock"",nombre: ""Led Zeppelin""})"
"(:Artista {ubicacion: ""UK"",cancionDestacada: ""Comfortably Numb"",mood: ""Feliz"",genero: ""Rock Progresivo"",nombre: ""Pink Floyd""})"
"(:Artista {ubicacion: ""USA"",cancionDestacada: ""Can't Help Falling in Love"",mood: ""Feliz"",genero: ""Rock and Roll"",nombre: ""Elvis Presley""})"
"(:Artista {ubicacion: ""UK"",cancionDestacada: ""Bohemian Rhapsody"",mood: ""Feliz"",genero: ""Rock"",nombre: ""Queen""})"
"(:Artista {ubicacion: ""USA"",cancionDestacada: ""Billie Jean"",mood: ""Feliz"",genero: ""Pop"",nombre: ""Michael Jackson""})"
"(:Artista {ubicacion: ""UK"",cancionDestacada: ""Hey Jude"",mood: ""Feliz"",genero: ""Rock"",nombre: ""The Beatles""})"
"(:Artista {ubicacion: ""USA"",cancionDestacada: ""Love Story"",mood: ""Feliz"",genero: ""Pop"",nombre: ""Taylor Swift""})"
"(:Artista {ubicacion: ""Barbados"",cancionDestacada: ""Umbrella"",mood: ""Feliz"",genero: ""Pop"",nombre: ""Rihanna""})"
"(:Artista {ubicacion: ""UK"",cancionDestacada: ""Fix You"",mood: ""Feliz"",genero: ""Pop Rock"",nombre: ""Coldplay""})"
"(:Artista {ubicacion: ""Colombia"",cancionDestacada: ""Hips Don't Lie"",mood: ""Bailarín"",genero: ""Pop Latino"",nombre: ""Shakira""})"
"(:Artista {ubicacion: ""Colombia"",cancionDestacada: ""Felices los 4"",mood: ""Feliz"",genero: ""Reggaetón"",nombre: ""Maluma""})"
"(:Artista {ubicacion: ""UK"",cancionDestacada: ""Shape of You"",mood: ""Feliz"",genero: ""Pop"",nombre: ""Ed Sheeran""})"
"(:Artista {ubicacion: ""Colombia"",cancionDestacada: ""La Camisa Negra"",mood: ""Triste"",genero: ""Pop Rock"",nombre: ""Juanes""})"
"(:Artista {ubicacion: ""UK"",cancionDestacada: ""New Rules"",mood: ""Feliz"",genero: ""Pop"",nombre: ""Dua Lipa""})"
"(:Artista {ubicacion: ""Mexico"",cancionDestacada: ""Labios Compartidos"",mood: ""Feliz"",genero: ""Rock Latino"",nombre: ""Maná""})"
"(:Artista {ubicacion: ""Spain"",cancionDestacada: ""Bailando"",mood: ""Enamorado"",genero: ""Pop Latino"",nombre: ""Enrique Iglesias""})"
"(:Artista {ubicacion: ""South Korea"",cancionDestacada: ""Dynamite"",mood: ""Feliz"",genero: ""K-Pop"",nombre: ""BTS""})"
"(:Artista {ubicacion: ""Puerto Rico"",cancionDestacada: ""Gasolina"",mood: ""Feliz"",genero: ""Reggaetón"",nombre: ""Daddy Yankee""})"
"(:Artista {ubicacion: ""Colombia"",cancionDestacada: ""Vida de Rico"",mood: ""Enamorado"",genero: ""Pop"",nombre: ""Camilo""})"
"(:Artista {ubicacion: ""Colombia"",cancionDestacada: ""Mi Gente"",mood: ""Feliz"",genero: ""Reggaetón"",nombre: ""J Balvin""})"
"(:Artista {ubicacion: ""Mexico"",cancionDestacada: ""Hasta la Raíz"",mood: ""Triste"",genero: ""Pop Latino"",nombre: ""Natalia Lafourcade""})"
"(:Artista {ubicacion: ""Cuba"",cancionDestacada: ""Havana"",mood: ""Feliz"",genero: ""Pop"",nombre: ""Camila Cabello""})"
"(:Artista {ubicacion: ""Puerto Rico"",cancionDestacada: ""Dákiti"",mood: ""Enojado"",genero: ""Reggaetón"",nombre: ""Bad Bunny""})"
"(:Artista {ubicacion: ""Spain"",cancionDestacada: ""Malamente"",mood: ""LGBT"",genero: ""Flamenco"",nombre: ""Rosalia""})"
"(:Artista {ubicacion: ""Mexico"",cancionDestacada: ""La Incondicional"",mood: ""Feliz"",genero: ""Pop Latino"",nombre: ""Luis Miguel""})"
"(:Artista {ubicacion: ""Puerto Rico"",cancionDestacada: ""Taki Taki"",mood: ""Bailarín"",genero: ""Reggaetón"",nombre: ""Ozuna""})"
"(:Artista {ubicacion: ""Puerto Rico"",cancionDestacada: ""Despacito"",mood: ""Enamorado"",genero: ""Pop Latino"",nombre: ""Luis Fonsi""})"
"(:Artista {ubicacion: ""UK"",cancionDestacada: ""Maybe I'm Amazed"",mood: ""Feliz"",genero: ""Pop Rock"",nombre: ""Paul McCartney""})"
"(:Artista {ubicacion: ""UK"",cancionDestacada: ""Wonderwall"",mood: ""Feliz"",genero: ""Rock"",nombre: ""Oasis""})"
"(:Artista {ubicacion: ""Spain"",cancionDestacada: ""Hey"",mood: ""Feliz"",genero: ""Pop Latino"",nombre: ""Julio Iglesias""})"
"(:Artista {ubicacion: ""USA"",mood: ""Feliz"",cancionDestacada: ""X"",genero: ""Reggaetón"",nombre: ""Nicky Jam""})"
"(:Artista {ubicacion: ""Spain"",cancionDestacada: ""Rosas"",mood: ""Feliz"",genero: ""Pop Rock"",nombre: ""La Oreja de Van Gogh""})"
"(:Artista {ubicacion: ""Spain"",cancionDestacada: ""Mediterráneo"",mood: ""Feliz"",genero: ""Trova"",nombre: ""Joan Manuel Serrat""})"
"(:Artista {ubicacion: ""Spain"",cancionDestacada: ""Hijo de la Luna"",mood: ""Feliz"",genero: ""Pop"",nombre: ""Mecano""})"
"(:Artista {ubicacion: ""Spain"",cancionDestacada: ""Solamente Tú"",mood: ""Enamorado"",genero: ""Pop Latino"",nombre: ""Pablo Alborán""})"
"(:Artista {ubicacion: ""Cuba"",cancionDestacada: ""Conga"",mood: ""Feliz"",genero: ""Pop Latino"",nombre: ""Gloria Estefan""})"
"(:Artista {ubicacion: ""Mexico"",cancionDestacada: ""El Rey"",mood: ""Enamorado"",genero: ""Ranchera"",nombre: ""Vicente Fernández""})"
"(:Artista {ubicacion: ""Argentina"",cancionDestacada: ""De Música Ligera"",mood: ""Feliz"",genero: ""Rock"",nombre: ""Gustavo Cerati""})"
"(:Artista {ubicacion: ""Japon"",cancionDestacada: ""Glimpse of Us"",mood: ""Triste"",genero: ""Alternativa"",nombre: ""Joji""})"
